company_id,company_name,year,province,naics_code_3digit,multi_province_dummy,total_emissions_co2e,intensity_co2e_per_m_gdp,ln_emissions,emissions_squared,high_emitter,green_patent_count,unique_patents,green_patent_intensity,has_green_patents,ln_green_patents,cfd_participant,cfd_type,exposure_cfd_it,carbon_price_real_2015,exposure_price_it,num_facilities,company_age,emissions_growth_pct,year_fe,province_fe,naics_fe,ln_emissions_2018,intensity_2018,sample_50kt_baseline,sample_any_year_50kt,sample_all_years_50kt,green_patent_stock,naics_2digit,gdp_million_statcan,intensity_statcan,gdp_ind_prov_year,emission_share,naics_3digit_statcan,gdp_3digit_prov_year,gdp_million_final,gdp_source,naics_3digit,deflator_index,source,gdp_defl_rebased,gdp_real_million_v2,intensity_real_v2
PEPSICO CANADA ULC,Pepsico Canada Ulc,2018,Ontario,311,1,33711.57,17.18746571826964,10.425626043826997,1136469951.8649,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,2,1,10.988915222607677,2018,Ontario,311,10.425626043826997,17.18746571826964,0.0,0,0,0.0,31,,,,0.0435622533587726,311,10816.6,10816.6,3digit,311.0,101.43195994026178,IPPI,105.06198347107438,10663.89726312143,3.161280455747028
PEPSICO CANADA ULC,Pepsico Canada Ulc,2019,Ontario,311,1,34078.99262,16.805439629049985,10.436465764393931,1161377737.9940145,0,0.0,0.0,0.0,0,0.0,0,No,0,18.61764705882353,127.77425732827965,2,2,1.089900648353059,2019,Ontario,311,10.425626043826997,17.18746571826964,0.0,0,0,0.0,31,,,,0.0405890203202268,311,11436.2,11436.2,3digit,311.0,103.49644206272512,IPPI,106.61157024793388,11049.84845089551,3.084114028481372
PEPSICO CANADA ULC,Pepsico Canada Ulc,2020,Ontario,311,1,35053.751000000004,16.41185339222746,10.464666432492178,1228765459.1700013,0,0.0,0.0,0.0,0,0.0,0,No,0,27.72262773722628,190.26239777349667,2,3,2.860291062206888,2020,Ontario,311,10.425626043826997,17.18746571826964,0.0,0,0,0.0,31,,,,0.0385062619426099,311,11236.8,11236.8,3digit,311.0,107.73961170166038,IPPI,107.74793388429754,10429.590215264187,3.360990247603134
PEPSICO CANADA ULC,Pepsico Canada Ulc,2023,Ontario,311,1,21781.6195,36.62436815641389,9.988867660145711,474438948.0427803,0,0.0,0.0,0.0,0,0.0,0,No,0,52.38064926798218,359.49218166199614,1,6,-37.86222906644142,2023,Ontario,311,10.425626043826997,17.18746571826964,0.0,0,0,0.0,31,,,,0.0237526707065638,311,12415.0,12415.0,3digit,311.0,133.50610559606432,IPPI,127.27272727272727,9299.200171086399,2.3423110696901275
PERMOLEX LTD,Permolex Ltd.,2021,Alberta,311,0,31125.8969,37.431979498774346,10.345827576488276,968821457.8294296,0,0.0,0.0,0.0,0,0.0,0,No,0,35.76271186440678,1609.4797763339996,1,0,,2021,Alberta,311,,,,0,0,0.0,31,,,,0.0257499672006778,311,3657.3,3657.3,3digit,311.0,116.98146358604934,IPPI,116.21900826446281,3126.3927530790033,9.95584987501839
PERPETUAL ENERGY INC,Perpetual Energy Inc.,2017,Alberta,211,0,28566.0555,460.1846422283202,10.260009427260366,816019526.8290802,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,0,,2017,Alberta,211,10.29179156103986,569.5184714650175,0.0,1,0,0.0,21,18.74162311250357,1524.2039245225244,56856.3,0.0003296314236505,211,46585.0,46585.0,3digit,,103.30578512396696,GDP_DEFLATOR,103.30578512396696,45094.27999999999,0.6334740348443306
PERPETUAL ENERGY INC,Perpetual Energy Inc.,2018,Alberta,211,0,29488.5594,569.5184714650175,10.29179156103986,869575135.4873283,0,8.033333333333333,20.0,0.0002724220340629,1,2.2009214392175456,0,No,0,0.0,0.0,2,1,3.2293709574288343,2018,Alberta,211,10.29179156103986,569.5184714650175,0.0,1,0,8.033333333333333,21,19.774017288999527,1491.2781236620422,60506.4,0.0003268086894774,211,49313.3,49313.3,3digit,,105.06198347107438,GDP_DEFLATOR,105.06198347107438,46937.33962635202,0.6282537449873755
PERPETUAL ENERGY INC,Perpetual Energy Inc.,2019,Alberta,211,0,50720.0949,425.9442719554454,10.83409717602322,2572528026.6650057,0,0.0,0.0,0.0001346277712373,1,2.0577496308108487,0,No,0,18.61764705882353,8418.133743429338,3,2,71.9992293011099,2019,Alberta,211,10.29179156103986,569.5184714650175,0.0,1,0,6.828333333333333,21,32.83174065713897,1544.8494013664597,60055.2,0.0005466927203162,211,49640.2,49640.2,3digit,,106.61157024793388,GDP_DEFLATOR,106.61157024793388,46561.73798449612,1.0893084557300783
PERPETUAL ENERGY INC,Perpetual Energy Inc.,2020,Alberta,211,0,15710.4382,597.7535620531721,9.662144273845003,246817868.43601924,0,0.0,0.0,0.0003694412122338,1,1.9175229221560457,0,No,0,27.72262773722628,12535.03126758821,1,3,-69.02521923317614,2020,Alberta,211,10.29179156103986,569.5184714650175,0.0,1,0,5.804083333333333,21,9.26961885300396,1694.8310873546643,53808.3,0.0001722711710461,211,47465.8,47465.8,3digit,,107.74793388429754,GDP_DEFLATOR,107.74793388429754,44052.63125599233,0.3566288267482992
PERPETUAL ENERGY INC,Perpetual Energy Inc.,2021,Alberta,211,0,15748.8629,362.342725977657,9.664586939453988,248026682.6429964,0,0.0,0.0,0.0003132588596814,1,1.7806093425187164,0,No,0,35.76271186440678,16170.42639980777,1,4,0.2445807017655177,2021,Alberta,211,10.29179156103986,569.5184714650175,0.0,1,0,4.933470833333333,21,9.583048409544077,1643.408467426209,57954.2,0.0001653555464408,211,50772.3,50772.3,3digit,,116.21900826446281,GDP_DEFLATOR,116.21900826446281,43686.74346666667,0.360495236089559
