company_id,company_name,year,province,naics_code_3digit,multi_province_dummy,total_emissions_co2e,intensity_co2e_per_m_gdp,ln_emissions,emissions_squared,high_emitter,green_patent_stock,green_patent_count,unique_patents,green_patent_intensity,has_green_patents,ln_green_patents,cfd_participant,cfd_type,exposure_cfd_it,carbon_price_real_2015,exposure_price_it,num_facilities,company_age,emissions_growth_pct,year_fe,province_fe,naics_fe
3313045 NOVA SCOTIA COMPANY,3313045 Nova Scotia Company,2022,Quebec,326,0,199137.4118,66.11477909777227,12.201755398616509,39655708778.40278,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,41.86507936507937,1807.083403571532,1,4,0.9341272804615386,2022,Quebec,326
3313045 NOVA SCOTIA COMPANY,3313045 Nova Scotia Company,2023,Quebec,326,0,16833.44204,16.703846016582176,9.731182188188795,283364770.91403943,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,52.38064926798218,2260.982264837812,1,5,-91.54682091735411,2023,Quebec,326
3M CANADA CO,3M Canada Co.,2017,Ontario,322,0,13384.15,94.35258505222852,9.501901162466183,179135471.2225,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,0,,2017,Ontario,322
3M CANADA COMPANY,3M Canada Company,2018,Ontario,322,0,24988.19505,88.76564342684792,10.126198812425862,624409891.8568444,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,2,0,,2018,Ontario,322
3M CANADA COMPANY,3M Canada Company,2019,Ontario,322,0,32125.692,104.71341864098994,10.377442490071244,1032060086.478864,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,18.61764705882353,1382.7557093276073,3,1,28.56347541596447,2019,Ontario,322
3M CANADA COMPANY,3M Canada Company,2020,Ontario,322,0,32465.418,124.19844659186585,10.387961541795608,1054003365.9147241,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,27.72262773722628,2058.9939029403786,3,2,1.0574900612257743,2020,Ontario,322
3M CANADA COMPANY,3M Canada Company,2021,Ontario,322,0,34552.734,111.28312245489606,10.450270898609363,1193891426.8747559,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,35.76271186440678,2656.1409105728053,3,3,6.429351995406307,2021,Ontario,322
3M CANADA COMPANY,3M Canada Company,2022,Ontario,322,0,33801.633,269.96027471532483,10.428293977845392,1142550393.466689,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,41.86507936507937,3109.371304043562,3,4,-2.173781675279285,2022,Ontario,322
3M CANADA COMPANY,3M Canada Company,2023,Ontario,322,0,31633.135,278.3148663744506,10.361992038074549,1000655229.9282249,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,52.38064926798218,3890.37570670148,3,5,-6.415364606792828,2023,Ontario,322
543077 ALBERTA LTD,543077 Alberta Ltd.,2017,Alberta,212,0,19624.7122,121.62751076835444,9.884595832437986,385129328.9328289,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,0,,2017,Alberta,212
543077 ALBERTA LTD,543077 Alberta Ltd.,2018,Alberta,212,0,24639.2169,110.3223177974902,10.112135220368453,607091009.4452456,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,1,25.551991024867093,2018,Alberta,212
543077 ALBERTA LTD,543077 Alberta Ltd.,2019,Alberta,212,0,18889.19,132.4192191011345,9.84639801867684,356801498.85609996,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,18.61764705882353,1630.1188692502856,1,2,-23.336889818117555,2019,Alberta,212
543077 ALBERTA LTD,543077 Alberta Ltd.,2020,Alberta,212,0,5302.94,117.5422631824516,8.57620521958452,28121172.643599994,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,27.72262773722628,2427.330287058819,1,3,-71.92605929634887,2020,Alberta,212
543077 ALBERTA LTD,543077 Alberta Ltd.,2021,Alberta,212,0,10918.82,73.47393494618555,9.298334765646558,119220630.1924,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,35.76271186440678,3131.301782740662,1,4,105.90125477565277,2021,Alberta,212
543077 ALBERTA LTD,543077 Alberta Ltd.,2022,Alberta,212,0,17384.1077,338.96802777506707,9.76336923941846,302207200.5251993,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,41.86507936507937,3665.6112139226,1,5,59.21232972061083,2022,Alberta,212
543077 ALBERTA LTD,543077 Alberta Ltd.,2023,Alberta,212,0,20410.6632,351.6366206035636,9.923861741949752,416595172.2638342,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,52.38064926798218,4586.330618769104,1,6,17.409898467207483,2023,Alberta,212
617885 ONTARIO LIMITED,617885 Ontario Limited,2017,Ontario,111,0,10283.41,60.0637051499764,9.23838443534682,105748521.2281,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,0,,2017,Ontario,111
617885 ONTARIO LIMITED,617885 Ontario Limited,2019,Ontario,111,0,9396.95,69.76083837288283,9.148246859367697,88302669.30250001,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,2,-8.620292296037979,2019,Ontario,111
617885 ONTARIO LIMITED,617885 Ontario Limited,2020,Ontario,111,0,10617.24,70.62269731215787,9.270328556014936,112725785.21759999,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,3,12.986022060349356,2020,Ontario,111
617885 ONTARIO LIMITED,617885 Ontario Limited,2021,Ontario,111,0,9932.523,71.10554274043585,9.20367047760283,98655013.14552899,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,4,-6.449105417227086,2021,Ontario,111
617885 ONTARIO LIMITED,617885 Ontario Limited,2022,Ontario,111,0,10184.41,141.16147000858854,9.228711583128053,103722207.0481,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,5,2.535982046052143,2022,Ontario,111
617885 ONTARIO LIMITED,617885 Ontario Limited,2023,Ontario,111,0,10016.25,136.84909339861147,9.212063885872457,100325264.0625,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,6,-1.6511511221563135,2023,Ontario,111
8439117 CANADA INC / RSI ENVIRONMENTAL,8439117 Canada Inc. / Rsi Environmental,2019,Quebec,562,0,15537.575,634.1680754807446,9.651080920875344,241416236.880625,0,10.763733754303637,1.5,3.0,0.0006927550634062,1,2.46502138819351,0,No,0,18.61764705882353,11512.823759865998,1,0,,2019,Quebec,562
8439117 CANADA INC / RSI ENVIRONMENTAL,8439117 Canada Inc. / Rsi Environmental,2020,Quebec,562,0,11087.666,629.7364363082852,9.313678784560924,122936337.32755598,0,11.04917369115809,1.9,3.0,0.0009965283668499,1,2.4889960842375283,0,No,0,27.72262773722628,17143.182824909953,1,1,-28.639662238154926,2020,Quebec,562
8439117 CANADA INC / RSI ENVIRONMENTAL,8439117 Canada Inc. / Rsi Environmental,2021,Quebec,562,0,18652.872,532.8956272874466,9.833809017464189,347929633.84838396,0,11.141797637484377,1.75,4.0,0.0005973234383147,1,2.4966538502445657,0,No,0,35.76271186440678,22115.02869126802,1,2,68.23082513488413,2021,Quebec,562
8439117 CANADA INC / RSI ENVIRONMENTAL,8439117 Canada Inc. / Rsi Environmental,2022,Quebec,562,0,12982.896,1078.7312076220962,9.47146509930406,168555588.54681602,0,13.72052799186172,4.25,5.0,0.0010568156743966,1,2.6892429816697976,0,No,0,41.86507936507937,25888.62485684153,1,3,-30.397335059180154,2022,Quebec,562
